keyword,pc,mobile,total,comp_label,competition,ad_depth
급여계산기,23200,42200,65400,높음,0.9,10
전입신고,29900,35500,65400,중간,0.6,6
여름이불,11700,53500,65200,중간,0.6,8
도어락,13400,51600,65000,중간,0.6,8
국채금리,13300,51600,64900,높음,0.9,10
안마의자,10000,54900,64900,중간,0.6,8
홈캠,9880,54900,64780,중간,0.6,8
카드지갑,9770,54900,64670,중간,0.6,8
로지텍마우스,30800,33800,64600,높음,0.9,10
4대보험,33700,30200,63900,높음,0.9,10
주휴수당,11000,52800,63800,높음,0.9,10
건조기,13800,50000,63800,중간,0.6,8
냉감이불,11600,52100,63700,중간,0.6,8
의자,18800,44800,63600,중간,0.6,8
커피머신,10700,52800,63500,중간,0.6,8
건강검진,14300,48700,63000,높음,0.9,10
초파리없애는법,4410,58400,62810,높음,0.9,10
인버터에어컨,5090,57700,62790,중간,0.6,8
주민등록등본발급,48300,14300,62600,높음,0.9,3
신경외과,5130,57200,62330,높음,0.9,10
도수치료,11700,50600,62300,높음,0.9,10
엔화환전,8440,53500,61940,높음,0.9,10
타이어,8950,51600,60550,높음,0.9,10
얼음정수기,10900,49200,60100,높음,0.9,10
안전화,15300,43700,59000,중간,0.6,8
CMA,15400,42600,58000,높음,0.9,10
은마아파트,8800,48600,57400,높음,0.9,10
날개없는선풍기,7090,49800,56890,중간,0.6,8
모니터,20500,36100,56600,중간,0.6,8
블루투스이어폰,17500,38900,56400,중간,0.6,8
전세대출,17900,38300,56200,높음,0.9,10
아마존주가,6180,50000,56180,중간,0.6,5
VOO,16800,39300,56100,중간,0.6,2
캠핑의자,10600,45500,56100,높음,0.9,10
당뇨초기증상,4650,51200,55850,높음,0.9,10
운전면허시험장,9330,46200,55530,높음,0.9,10
청약,23600,31700,55300,높음,0.9,10
갑상선기능저하증,5520,48800,54320,높음,0.9,10
실외기없는에어컨,8190,46100,54290,중간,0.6,8
이어폰,12700,41400,54100,높음,0.9,10
운전면허,8940,45100,54040,높음,0.9,10
온열질환,13600,40100,53700,높음,0.9,3
무선이어폰,11900,41500,53400,높음,0.9,10
자동차보험료비교견적사이트,15900,36900,52800,높음,0.9,10
운전면허학원,5420,47300,52720,높음,0.9,10
KODEX레버리지,12000,40300,52300,높음,0.9,1
지방세납부,29100,23100,52200,중간,0.6,1
개인회생,10600,41500,52100,높음,0.9,10
내일배움카드신청,14500,37400,51900,높음,0.9,10
모기퇴치기,9480,42300,51780,중간,0.6,8
7월공모주일정,8410,43100,51510,높음,0.9,3
싼타페하이브리드,8410,43100,51510,높음,0.9,10
마라톤,16800,34500,51300,높음,0.9,10
나이키런닝화,6440,44700,51140,높음,0.9,10
러브버그,5530,45300,50830,높음,0.9,7
등기부등본발급,34700,15700,50400,높음,0.9,3
SGI서울보증,28300,21900,50200,중간,0.6,4
자동차검사,16300,33600,49900,높음,0.9,10
탁상용선풍기,11900,38000,49900,중간,0.6,8
SUV,13500,36100,49600,높음,0.9,10
통증의학과,3460,46100,49560,높음,0.9,10
행복주택,16100,33300,49400,중간,0.6,6
런닝화,8840,40200,49040,높음,0.9,10
통돌이세탁기,6810,42200,49010,중간,0.6,8
트래블카드,8800,39800,48600,높음,0.9,7
간병인보험,6290,42200,48490,높음,0.9,10
TQQQ,14100,34300,48400,중간,0.6,7
발바닥통증,3180,44900,48080,높음,0.9,10
재산세계산기,13600,34100,47700,중간,0.6,1
집들이선물,10900,36700,47600,높음,0.9,10
저축은행적금,13600,33500,47100,높음,0.9,9
유팡,5630,41200,46830,중간,0.6,8
싱크대수전,8640,38100,46740,중간,0.6,8
원터치텐트,7430,39300,46730,중간,0.6,8
주담대금리,12000,34700,46700,높음,0.9,10
블라우스,8500,38200,46700,높음,0.9,10
캠핑카,6700,39900,46600,높음,0.9,10
운전자보험,9150,37400,46550,높음,0.9,10
원데이자동차보험,2120,44400,46520,높음,0.9,10
소방안전관리자,15400,31000,46400,높음,0.9,10
가정의학과,2980,43200,46180,높음,0.9,10
반바지,9480,36600,46080,높음,0.9,10
모기기피제,8000,37800,45800,중간,0.6,8
응급실,2250,43500,45750,높음,0.9,10
소상공인지원금,7020,38700,45720,높음,0.9,10
접이식매트리스,7180,38300,45480,중간,0.6,8
강아지사료,4440,40900,45340,중간,0.6,8
노인장기요양보험,29400,15900,45300,높음,0.9,10
드럼세탁기,4900,39700,44600,높음,0.9,10
신세계상품권,7000,37400,44400,높음,0.9,10
압력밥솥,6030,38300,44330,중간,0.6,8
양도세계산기,11700,32500,44200,높음,0.9,10
고용산재보험토탈,34400,9630,44030,중간,0.6,1
알바,13100,30900,44000,높음,0.9,10
바퀴벌레,3910,40000,43910,높음,0.9,10
