keyword,volume,comp,competition,ad_depth,tier,blog,score
등산화,29670,중간,0.6,8,3,T2,214.7
삼성화재간병인보험,2250,중간,0.6,7,4,T1,214.5
아파트청약방법,2230,중간,0.6,2,4,T1,214.3
미니건조기,28210,중간,0.6,8,3,T2,213.6
삼성자산운용ETF,2070,중간,0.6,1,4,T1,212.2
코덱스ETF,1970,중간,0.6,1,4,T1,210.8
4대보험상실신고,1950,중간,0.6,3,4,T1,210.6
휴대용유모차,24090,중간,0.6,8,3,T2,210.3
한화손해보험간병인보험,1920,중간,0.6,6,4,T1,210.1
매트리스퀸사이즈,1900,중간,0.6,8,4,T2,209.8
세탁기건조기일체형,22950,중간,0.6,8,3,T2,209.3
빨래건조기,22250,중간,0.6,8,3,T2,208.7
소득금액증명원발급,22160,중간,0.6,1,3,T1,208.6
현대해상펫보험,1810,중간,0.6,3,4,T1,208.5
책상의자,21700,중간,0.6,8,3,T2,208.2
원리금균등상환계산기,21560,중간,0.6,2,3,T1,208.0
부동산대출계산기,1730,중간,0.6,8,4,T1,207.2
주니어카시트,19980,중간,0.6,8,3,T2,206.4
노란우산공제이율,1680,중간,0.6,6,4,T1,206.4
아동수당,19470,중간,0.6,2,3,T1,205.9
전기차완속충전기,1650,중간,0.6,8,4,T2,205.9
파킹형ETF,1640,중간,0.6,3,4,T1,205.8
층간소음매트,19060,중간,0.6,8,3,T1,205.4
여성골프채풀세트,1590,중간,0.6,8,4,T2,204.9
일리커피머신,18470,중간,0.6,8,3,T2,204.8
레노버태블릿,17500,중간,0.6,8,3,T2,203.7
27인치모니터,17320,중간,0.6,8,3,T2,203.5
IRP해지,1470,중간,0.6,6,4,T1,202.7
제습기공기청정기,16400,중간,0.6,8,3,T2,202.3
싸이벡스카시트,16360,중간,0.6,8,3,T2,202.3
세탁기건조기,16290,중간,0.6,8,3,T2,202.2
소상공인대리대출,1440,중간,0.6,6,4,T1,202.1
호텔매트리스,1430,중간,0.6,8,4,T2,201.9
킹매트리스,1420,중간,0.6,8,4,T2,201.7
연말정산경정청구,1410,중간,0.6,3,4,T1,201.6
바구니카시트,15490,중간,0.6,8,3,T2,201.1
연금저축ETF추천,1380,중간,0.6,6,4,T1,201.0
미니안마의자,1360,중간,0.6,8,4,T2,200.5
싱글매트리스사이즈,1360,중간,0.6,8,4,T2,200.5
휴대용카시트,14540,중간,0.6,8,3,T2,199.8
연금저축계좌세액공제,1300,중간,0.6,3,4,T1,199.3
캠핑매트리스,1300,중간,0.6,8,4,T2,199.3
개인사업자,1290,중간,0.6,3,4,T1,199.1
고령자계속고용장려금,1280,중간,0.6,6,4,T1,198.9
럼멜매트리스,1280,중간,0.6,5,4,T2,198.9
노란우산공제회,1280,중간,0.6,4,4,T1,198.9
캡슐커피머신,13820,중간,0.6,8,3,T2,198.7
연말정산간소화,1260,중간,0.6,8,4,T1,198.4
고용증대세액공제,1260,중간,0.6,3,4,T1,198.4
SS매트리스,1250,중간,0.6,8,4,T2,198.2
32인치모니터,13280,중간,0.6,8,3,T2,197.9
중소기업청년대출,1210,중간,0.6,3,4,T1,197.3
삼성태블릿,12580,중간,0.6,8,3,T2,196.8
무선청소기추천,12440,중간,0.6,8,3,T2,196.6
연말정산계산기,1180,중간,0.6,5,4,T1,196.6
정부지원서민대출,1170,중간,0.6,4,4,T1,196.4
은행금리비교,11910,중간,0.6,8,3,T2,195.6
인도ETF,1140,중간,0.6,5,4,T1,195.6
한문철운전자보험,1130,중간,0.6,5,4,T1,195.4
신생아분유량,11690,중간,0.6,2,3,T2,195.3
한문철블랙박스,11600,중간,0.6,8,3,T2,195.1
IRP퇴직연금계좌,1120,중간,0.6,6,4,T1,195.1
컴퓨터모니터,11440,중간,0.6,8,3,T2,194.8
아파트,1196000,중간,0.6,8,2,T1,194.5
순성카시트,10850,중간,0.6,8,3,T2,193.7
소형안마의자,1060,중간,0.6,8,4,T2,193.6
고용노동부퇴직금계산기,10440,중간,0.6,1,3,T1,192.9
일루마분유,10380,중간,0.6,7,3,T2,192.8
전자동커피머신,10350,중간,0.6,8,3,T2,192.7
의자추천,10170,중간,0.6,8,3,T2,192.4
SBI저축은행대출,1010,중간,0.6,3,4,T1,192.3
사업자,1000,중간,0.6,4,4,T1,192.0
종부세계산기,9900,중간,0.6,4,3,T1,191.8
로봇청소기추천,9710,중간,0.6,8,3,T2,191.4
욕실수전,9630,중간,0.6,8,3,T2,191.2
골전도이어폰추천,9460,중간,0.6,8,3,T2,190.8
비염,9370,중간,0.6,8,3,T1,190.6
블랙박스추천,9010,중간,0.6,8,3,T2,189.8
확정일자받는법,8800,중간,0.6,8,3,T1,189.3
24인치모니터,8710,중간,0.6,8,3,T2,189.1
토들러카시트,8690,중간,0.6,8,3,T2,189.1
CMA금리비교,8610,중간,0.6,7,3,T2,188.9
마우스추천,8390,중간,0.6,8,3,T2,188.3
벤큐모니터,8260,중간,0.6,8,3,T2,188.0
듀얼모니터,8200,중간,0.6,8,3,T2,187.9
모바일운전면허증발급,7900,중간,0.6,1,3,T1,187.1
타프추천,7060,중간,0.6,8,3,T2,184.7
음식물처리기추천,7040,중간,0.6,8,3,T2,184.7
유아카시트,6810,중간,0.6,8,3,T2,184.0
가성비노트북,6800,중간,0.6,8,3,T2,184.0
사료,6640,중간,0.6,8,3,T2,183.5
퇴직금계산방법,6590,중간,0.6,7,3,T1,183.3
신생아카시트,6570,중간,0.6,8,3,T2,183.2
삼성건조기21KG,6550,중간,0.6,8,3,T2,183.2
아기유모차,6530,중간,0.6,8,3,T2,183.1
부스터카시트,6530,중간,0.6,8,3,T2,183.1
식기세척기6인용,6460,중간,0.6,8,3,T2,182.9
커넥티드블랙박스,6450,중간,0.6,8,3,T2,182.9
4채널블랙박스,6400,중간,0.6,8,3,T2,182.7
한성모니터,6270,중간,0.6,7,3,T2,182.3
스마트워치추천,6260,중간,0.6,8,3,T2,182.2
산양분유,6200,중간,0.6,8,3,T2,182.0
유모차컵홀더,6120,중간,0.6,8,3,T2,181.8
블랙박스SD카드,6000,중간,0.6,7,3,T2,181.4
제습기,459400,중간,0.6,8,2,T2,181.2
세탁기건조기세트,5940,중간,0.6,8,3,T2,181.1
모니터추천,5940,중간,0.6,8,3,T2,181.1
유모차쿨시트,5740,중간,0.6,8,3,T2,180.4
태블릿추천,5730,중간,0.6,8,3,T2,180.4
자동커피머신,5600,중간,0.6,8,3,T2,179.9
룸미러블랙박스,5520,중간,0.6,8,3,T2,179.6
폴레드카시트,5480,중간,0.6,8,3,T2,179.5
탈지분유,5410,중간,0.6,8,3,T2,179.2
물걸레로봇청소기,5370,중간,0.6,8,3,T2,179.0
4K모니터,5370,중간,0.6,8,3,T2,179.0
만도블랙박스,5050,중간,0.6,8,3,T2,177.8
선풍기,341600,중간,0.6,8,2,T2,177.1
정년퇴직실업급여,4850,중간,0.6,2,3,T1,176.9
카시트통풍시트,4840,중간,0.6,8,3,T2,176.9
스마트모니터,4760,중간,0.6,8,3,T2,176.5
순성바구니카시트,4710,중간,0.6,2,3,T2,176.3
소형건조기,4700,중간,0.6,8,3,T2,176.3
싸이벡스유모차,4680,중간,0.6,8,3,T2,176.2
